Date,State,TotalSamples,Negative,Positive
17-04-2020,Andaman and Nicobar Islands,1403,1210,12
24-04-2020,Andaman and Nicobar Islands,2679,Null,27
27-04-2020,Andaman and Nicobar Islands,2848,Null,33
01-05-2020,Andaman and Nicobar Islands,3754,Null,33
16-05-2020,Andaman and Nicobar Islands,6677,Null,33
19-05-2020,Andaman and Nicobar Islands,6965,Null,33
20-05-2020,Andaman and Nicobar Islands,7082,Null,33
21-05-2020,Andaman and Nicobar Islands,7167,Null,33
22-05-2020,Andaman and Nicobar Islands,7263,Null,33
23-05-2020,Andaman and Nicobar Islands,7327,Null,33
24-05-2020,Andaman and Nicobar Islands,7327,Null,33
25-05-2020,Andaman and Nicobar Islands,7363,Null,33
26-05-2020,Andaman and Nicobar Islands,7448,Null,33
27-05-2020,Andaman and Nicobar Islands,7499,Null,33
28-05-2020,Andaman and Nicobar Islands,7519,Null,33
29-05-2020,Andaman and Nicobar Islands,7567,Null,33
30-05-2020,Andaman and Nicobar Islands,7567,Null,33
31-05-2020,Andaman and Nicobar Islands,7706,Null,33
01-06-2020,Andaman and Nicobar Islands,7805,Null,33
02-06-2020,Andaman and Nicobar Islands,8086,Null,33
03-06-2020,Andaman and Nicobar Islands,8295,Null,33
04-06-2020,Andaman and Nicobar Islands,8413,Null,33
05-06-2020,Andaman and Nicobar Islands,8694,Null,33
06-06-2020,Andaman and Nicobar Islands,9037,Null,33
07-06-2020,Andaman and Nicobar Islands,9242,Null,33
08-06-2020,Andaman and Nicobar Islands,9341,Null,33
09-06-2020,Andaman and Nicobar Islands,9859,Null,33
10-06-2020,Andaman and Nicobar Islands,10010,Null,35
11-06-2020,Andaman and Nicobar Islands,10226,Null,38
12-06-2020,Andaman and Nicobar Islands,10697,Null,38
13-06-2020,Andaman and Nicobar Islands,10955,Null,38
14-06-2020,Andaman and Nicobar Islands,11356,Null,38
15-06-2020,Andaman and Nicobar Islands,11518,Null,41
16-06-2020,Andaman and Nicobar Islands,11809,Null,44
17-06-2020,Andaman and Nicobar Islands,12239,Null,44
18-06-2020,Andaman and Nicobar Islands,12622,Null,45
19-06-2020,Andaman and Nicobar Islands,12930,Null,47
20-06-2020,Andaman and Nicobar Islands,13320,Null,47
21-06-2020,Andaman and Nicobar Islands,13434,Null,48
22-06-2020,Andaman and Nicobar Islands,13511,Null,48
23-06-2020,Andaman and Nicobar Islands,13723,Null,50
24-06-2020,Andaman and Nicobar Islands,13994,Null,56
25-06-2020,Andaman and Nicobar Islands,14277,Null,59
26-06-2020,Andaman and Nicobar Islands,14583,Null,72
27-06-2020,Andaman and Nicobar Islands,14851,Null,73
28-06-2020,Andaman and Nicobar Islands,15094,Null,83
29-06-2020,Andaman and Nicobar Islands,15410,Null,90
30-06-2020,Andaman and Nicobar Islands,15709,Null,97
01-07-2020,Andaman and Nicobar Islands,15982,Null,100
02-07-2020,Andaman and Nicobar Islands,16278,Null,109
03-07-2020,Andaman and Nicobar Islands,16626,Null,116
04-07-2020,Andaman and Nicobar Islands,16832,Null,119
05-07-2020,Andaman and Nicobar Islands,16909,Null,125
06-07-2020,Andaman and Nicobar Islands,17095,Null,141
07-07-2020,Andaman and Nicobar Islands,17381,Null,147
08-07-2020,Andaman and Nicobar Islands,17643,Null,149
09-07-2020,Andaman and Nicobar Islands,17852,Null,151
10-07-2020,Andaman and Nicobar Islands,18046,Null,156
11-07-2020,Andaman and Nicobar Islands,18315,Null,163
12-07-2020,Andaman and Nicobar Islands,18447,Null,163
13-07-2020,Andaman and Nicobar Islands,18609,Null,166
14-07-2020,Andaman and Nicobar Islands,18884,Null,171
15-07-2020,Andaman and Nicobar Islands,19061,Null,176
16-07-2020,Andaman and Nicobar Islands,19227,Null,180
17-07-2020,Andaman and Nicobar Islands,19421,Null,194
18-07-2020,Andaman and Nicobar Islands,19671,Null,198
19-07-2020,Andaman and Nicobar Islands,19904,Null,203
20-07-2020,Andaman and Nicobar Islands,20301,Null,207
21-07-2020,Andaman and Nicobar Islands,20642,Null,212
22-07-2020,Andaman and Nicobar Islands,21043,Null,221
23-07-2020,Andaman and Nicobar Islands,21310,Null,240
24-07-2020,Andaman and Nicobar Islands,21743,Null,259
25-07-2020,Andaman and Nicobar Islands,21965,Null,290
26-07-2020,Andaman and Nicobar Islands,22049,Null,324
27-07-2020,Andaman and Nicobar Islands,22548,Null,338
28-07-2020,Andaman and Nicobar Islands,22925,Null,363
29-07-2020,Andaman and Nicobar Islands,23217,Null,428
30-07-2020,Andaman and Nicobar Islands,23615,Null,471
31-07-2020,Andaman and Nicobar Islands,24038,Null,548
01-08-2020,Andaman and Nicobar Islands,24308,Null,636
02-08-2020,Andaman and Nicobar Islands,24580,Null,734
03-08-2020,Andaman and Nicobar Islands,25034,Null,830
04-08-2020,Andaman and Nicobar Islands,25492,Null,928
05-08-2020,Andaman and Nicobar Islands,25826,Null,1027
06-08-2020,Andaman and Nicobar Islands,26516,Null,1123
07-08-2020,Andaman and Nicobar Islands,26915,Null,1222
08-08-2020,Andaman and Nicobar Islands,27073,Null,1351
09-08-2020,Andaman and Nicobar Islands,27103,Null,1490
10-08-2020,Andaman and Nicobar Islands,27346,Null,1625
11-08-2020,Andaman and Nicobar Islands,27455,Null,1764
12-08-2020,Andaman and Nicobar Islands,27744,Null,1900
13-08-2020,Andaman and Nicobar Islands,27973,Null,2037
14-08-2020,Andaman and Nicobar Islands,28129,Null,2186
15-08-2020,Andaman and Nicobar Islands,28209,Null,2306
16-08-2020,Andaman and Nicobar Islands,28229,Null,2399
17-08-2020,Andaman and Nicobar Islands,28672,Null,2445
18-08-2020,Andaman and Nicobar Islands,28937,Null,2529
19-08-2020,Andaman and Nicobar Islands,29303,Null,2604
20-08-2020,Andaman and Nicobar Islands,29487,Null,2680
21-08-2020,Andaman and Nicobar Islands,29573,Null,2747
22-08-2020,Andaman and Nicobar Islands,29888,Null,2808
23-08-2020,Andaman and Nicobar Islands,30278,Null,2860
24-08-2020,Andaman and Nicobar Islands,30513,Null,2904
25-08-2020,Andaman and Nicobar Islands,31082,Null,2945
26-08-2020,Andaman and Nicobar Islands,31646,Null,2985
27-08-2020,Andaman and Nicobar Islands,31830,Null,3018
28-08-2020,Andaman and Nicobar Islands,32100,Null,3050
29-08-2020,Andaman and Nicobar Islands,32407,Null,3081
30-08-2020,Andaman and Nicobar Islands,32674,Null,3104
31-08-2020,Andaman and Nicobar Islands,33485,Null,3132
01-09-2020,Andaman and Nicobar Islands,35104,Null,3160
02-09-2020,Andaman and Nicobar Islands,36136,Null,Null
03-09-2020,Andaman and Nicobar Islands,37075,Null,3223
04-09-2020,Andaman and Nicobar Islands,37825,Null,3257
05-09-2020,Andaman and Nicobar Islands,38574,Null,3292
06-09-2020,Andaman and Nicobar Islands,39205,Null,3332
07-09-2020,Andaman and Nicobar Islands,39995,Null,3359
08-09-2020,Andaman and Nicobar Islands,41039,Null,3392
09-09-2020,Andaman and Nicobar Islands,41776,Null,3426
10-09-2020,Andaman and Nicobar Islands,42792,Null,3465
11-09-2020,Andaman and Nicobar Islands,43680,Null,3494
12-09-2020,Andaman and Nicobar Islands,44570,Null,3521
13-09-2020,Andaman and Nicobar Islands,45279,Null,3546
14-09-2020,Andaman and Nicobar Islands,45987,Null,3557
15-09-2020,Andaman and Nicobar Islands,46823,Null,3574
16-09-2020,Andaman and Nicobar Islands,47794,Null,3593
17-09-2020,Andaman and Nicobar Islands,48861,Null,3604
18-09-2020,Andaman and Nicobar Islands,50035,Null,3631
19-09-2020,Andaman and Nicobar Islands,50681,Null,3644
20-09-2020,Andaman and Nicobar Islands,51262,Null,3651
21-09-2020,Andaman and Nicobar Islands,52220,Null,3673
